ADESIVOS					
Código	Descrição do Serviço	Qtde	Tam	Prazo	Preço R$
AT9151B	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	500	91 x 51	1	R$ 175,00
EA1TB	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	48	45 x 51	1	R$ 9,75
EA2TB	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	240	45 x 51	1	R$ 45,50
EA3A0TB	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	480	45 x 51	1	R$ 92,00
ETQ3CM	ADESIVO PAPEL BRANCO A4 - 120g - ADESIVO PAPEL - 4X0	48	33 x 33	1	R$ 3,50
ETQ4CM	ADESIVO PAPEL BRANCO A4 - 120g - ADESIVO PAPEL - 4X0	30	43 x 43	1	R$ 3,50
ETQ5CM	ADESIVO PAPEL BRANCO A4 - 120g - ADESIVO PAPEL - 4X0	20	53 x 53	1	R$ 3,50
ETQ6CM	ADESIVO PAPEL BRANCO A4 - 120g - ADESIVO PAPEL - 4X0	12	63 x 63	1	R$ 3,50
ADPC1	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	1	330 x 480	1	R$ 7,00
ADPC5	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	5	330 x 480	2	R$ 35,00
ADPMC10	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	10	330 x 480	2	R$ 69,00
ADPMC50	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	50	330 x 480	2	R$ 324,00
ADVC5M	ADESIVO VINIL METALIZADO - 120g - METALIZADO COM TINTA BRANCA - 4X0	5	330 x 480	2	R$ 45,00
ADVMC10M	ADESIVO VINIL METALIZADO - 120g - METALIZADO COM TINTA BRANCA - 4X0	10	330 x 480	2	R$ 77,50
ADVMCP50M	ADESIVO VINIL METALIZADO - 120g - METALIZADO COM TINTA BRANCA - 4X0	50	330 x 480	2	R$ 375,00
AVB1C0M	ADESIVO VINIL METALIZADO - 120g - METALIZADO COM TINTA BRANCA - 4X0	1	330 x 480	1	R$ 10,90
ADVCP5	ADESIVO VINIL PRATA - 400g - METALIZADO SEM TINTA BRANCA - 4X0	5	330 x 480	2	R$ 45,00
ADVMCP50	ADESIVO VINIL PRATA - 400g - METALIZADO SEM TINTA BRANCA - 4X0	50	330 x 480	2	R$ 375,00
ADVPMC10	ADESIVO VINIL PRATA - 400g - METALIZADO SEM TINTA BRANCA - 4X0	10	330 x 480	2	R$ 77,50
AVP1C0	ADESIVO VINIL PRATA - 400g - METALIZADO SEM TINTA BRANCA - 4X0	1	330 x 480	1	R$ 10,90
ADVC5	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - VINIL BRANCO - 4X0	5	330 x 480	2	R$ 39,90
ADVMC10	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - VINIL BRANCO - 4X0	10	330 x 480	2	R$ 76,50
ADVMC50	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - VINIL BRANCO - 4X0	50	330 x 480	2	R$ 369,00
AVB1C0	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - VINIL BRANCO - 4X0	1	330 x 480	1	R$ 10,50
AT0010	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE - 4X0	1	330 x 480	1	R$ 10,90
AT010	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE - 4X0	10	330 x 480	2	R$ 77,50
AT05	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE - 4X0	5	330 x 480	2	R$ 45,00
AT0502	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE - 4X0	50	330 x 480	2	R$ 375,00
AT0010B	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	1	330 x 480	1	R$ 11,50
AT010B	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	10	330 x 480	2	R$ 84,90
AT0502B	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	50	330 x 480	2	R$ 393,00
AT05B	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	5	330 x 480	2	R$ 49,90
ADPS1	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	1	330 x 480	1	R$ 5,00
ADPS10	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	10	330 x 480	1	R$ 45,00
ADPS5	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	5	330 x 480	1	R$ 23,00
ADPS50	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	50	330 x 480	1	R$ 220,00
ADVC5SM	ADESIVO VINIL METALIZADO - 120g - METALIZADO COM TINTA BRANCA - 4X0	5	330 x 480	1	R$ 29,00
ADVMCP50SM	ADESIVO VINIL METALIZADO - 120g - METALIZADO COM TINTA BRANCA - 4X0	50	330 x 480	1	R$ 275,00
AVB1C0SM	ADESIVO VINIL METALIZADO - 120g - METALIZADO COM TINTA BRANCA - 4X0	1	330 x 480	1	R$ 6,50
ADVP50	ADESIVO VINIL PRATA - 400g - METALIZADO SEM TINTA BRANCA - 4X0	50	330 x 480	1	R$ 275,00
ADVPS01	ADESIVO VINIL PRATA - 400g - METALIZADO SEM TINTA BRANCA - 4X0	1	480 x 330	1	R$ 6,50
AVB010B	ADESIVO VINIL PRATA - 400g - METALIZADO SEM TINTA BRANCA - 4X0	5	330 x 480	1	R$ 29,00
AVP010	ADESIVO VINIL PRATA - 400g - METALIZADO SEM TINTA BRANCA - 4X0	10	330 x 480	1	R$ 57,00
ADV50	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - VINIL BRANCO - 4X0	50	330 x 480	1	R$ 200,00
ADVS1	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - VINIL BRANCO - 4X0	1	330 x 480	1	R$ 5,00
ADVS5	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - VINIL BRANCO - 4X0	5	330 x 480	1	R$ 24,00
AVB010	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - VINIL BRANCO - 4X0	10	330 x 480	1	R$ 45,00
ADV10	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE - 4X0	10	330 x 480	1	R$ 57,00
AT0100	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE - 4X0	1	330 x 480	1	R$ 6,50
