ADESIVOS					
Código	Descrição do Serviço	Qtde	Tam	Prazo	Preço R$
CC48V200	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	200	210 x 300	2	R$ 650,00
CC48V25	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	25	210 x 300	2	R$ 155,00
CC48V5	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	5	210 x 300	2	R$ 45,00
CC48V50	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	50	210 x 300	2	R$ 202,00
CC48H10	COUCHÊ BRILHO - 275g - 300X210MM - 4X4	10	300 x 210	2	R$ 87,00
CC48H100	COUCHÊ BRILHO - 275g - 300X210MM - 4X4	100	300 x 210	2	R$ 399,00
CC48H200	COUCHÊ BRILHO - 275g - 300X210MM - 4X4	200	300 x 210	2	R$ 650,00
CC48H25	COUCHÊ BRILHO - 275g - 300X210MM - 4X4	25	300 x 210	2	R$ 155,00
CC48H5	COUCHÊ BRILHO - 275g - 300X210MM - 4X4	5	300 x 210	2	R$ 45,00
CC48H50	COUCHÊ BRILHO - 275g - 300X210MM - 4X4	50	300 x 210	2	R$ 202,00
CC38V10	COUCHÊ BRILHO - 275g - 320X470MM - 4X4	10	320 x 470	2	R$ 175,00
CC38V100	COUCHÊ BRILHO - 275g - 320X470MM - 4X4	100	320 x 470	2	R$ 799,00
CC38V200	COUCHÊ BRILHO - 275g - 320X470MM - 4X4	200	320 x 470	2	R$ 1.299,00
CC38V25	COUCHÊ BRILHO - 275g - 320X470MM - 4X4	25	320 x 470	2	R$ 315,00
CC38V5	COUCHÊ BRILHO - 275g - 320X470MM - 4X4	5	320 x 470	2	R$ 90,00
CC38V50	COUCHÊ BRILHO - 275g - 320X470MM - 4X4	50	320 x 470	2	R$ 405,00
CC38H10	COUCHÊ BRILHO - 275g - 470X320MM - 4X4	10	470 x 320	2	R$ 175,00
CC38H100	COUCHÊ BRILHO - 275g - 470X320MM - 4X4	100	470 x 320	2	R$ 799,00
CC38H200	COUCHÊ BRILHO - 275g - 470X320MM - 4X4	200	470 x 320	2	R$ 1.299,00
CC38H25	COUCHÊ BRILHO - 275g - 470X320MM - 4X4	25	470 x 320	2	R$ 315,00
CC38H5	COUCHÊ BRILHO - 275g - 470X320MM - 4X4	5	470 x 320	2	R$ 90,00
CC38H50	COUCHÊ BRILHO - 275g - 470X320MM - 4X4	50	470 x 320	2	R$ 405,00
CR84V10	RECICLATO - 250g - 210X300MM - 4X4	10	210 x 300	2	R$ 79,00
CR84V100	RECICLATO - 250g - 210X300MM - 4X4	100	210 x 300	2	R$ 675,00
CR84V200	RECICLATO - 250g - 210X300MM - 4X4	200	210 x 300	2	R$ 990,00
CR84V25	RECICLATO - 250g - 210X300MM - 4X4	25	210 x 300	2	R$ 190,00
CR84V5	RECICLATO - 250g - 210X300MM - 4X4	5	210 x 300	2	R$ 49,00
CR84V50	RECICLATO - 250g - 210X300MM - 4X4	50	210 x 300	2	R$ 365,00
CR84H10	RECICLATO - 250g - 300X210MM - 4X4	10	300 x 210	2	R$ 79,00
CR84H100	RECICLATO - 250g - 300X210MM - 4X4	100	300 x 210	2	R$ 675,00
CR84H200	RECICLATO - 250g - 300X210MM - 4X4	200	300 x 210	2	R$ 990,00
CR84H25	RECICLATO - 250g - 300X210MM - 4X4	25	300 x 210	2	R$ 190,00
CR84H5	RECICLATO - 250g - 300X210MM - 4X4	5	300 x 210	2	R$ 49,00
CR84H50	RECICLATO - 250g - 300X210MM - 4X4	50	300 x 210	2	R$ 365,00
CR83V10	RECICLATO - 250g - 320X470MM - 4X4	10	320 x 470	2	R$ 120,00
CR83V100	RECICLATO - 250g - 320X470MM - 4X4	100	320 x 470	2	R$ 810,00
CR83V200	RECICLATO - 250g - 320X470MM - 4X4	200	320 x 470	2	R$ 1.590,00
CR83V25	RECICLATO - 250g - 320X470MM - 4X4	25	320 x 470	2	R$ 250,00
CR83V5	RECICLATO - 250g - 320X470MM - 4X4	5	320 x 470	2	R$ 70,00
CR83V50	RECICLATO - 250g - 320X470MM - 4X4	50	320 x 470	2	R$ 460,00
CR83H10	RECICLATO - 250g - 470X320MM - 4X4	10	470 x 320	2	R$ 120,00
CR83H100	RECICLATO - 250g - 470X320MM - 4X4	100	470 x 320	2	R$ 810,00
CR83H200	RECICLATO - 250g - 470X320MM - 4X4	200	470 x 320	2	R$ 1.590,00
CR83H25	RECICLATO - 250g - 470X320MM - 4X4	25	470 x 320	2	R$ 250,00
CR83H5	RECICLATO - 250g - 470X320MM - 4X4	5	470 x 320	2	R$ 70,00
CR83H50	RECICLATO - 250g - 470X320MM - 4X4	50	470 x 320	2	R$ 460,00
CPC24010	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X0	10	115 x 310	2	R$ 43,50
CPC240100	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X0	100	115 x 310	2	R$ 293,00
CPC240200	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X0	200	105 x 300	2	R$ 580,00
CPC24025	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X0	25	115 x 310	2	R$ 104,00
CPC2405	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X0	5	105 x 300	2	R$ 23,00
CPC24050	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X0	50	115 x 310	2	R$ 166,00
CPC24410	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X4	10	105 x 300	2	R$ 52,00
CPC244100	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X4	100	105 x 300	2	R$ 330,00
CPC244200	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X4	200	105 x 300	2	R$ 650,00
CPC24425	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X4	25	105 x 300	2	R$ 113,00
CPC2445	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X4	5	105 x 300	2	R$ 27,00
CPC24450	PLÁSTICO COMPACTO - 50g - 105X300MM - 4X4	50	105 x 300	2	R$ 183,00
CPC54010	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X0	10	150 x 210	2	R$ 43,50
CPC540100	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X0	100	150 x 210	2	R$ 293,00
CPC540200	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X0	200	150 x 210	2	R$ 580,00
CPC54025	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X0	25	150 x 210	2	R$ 104,00
CPC5405	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X0	5	150 x 210	2	R$ 23,00
CPC54050	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X0	50	150 x 210	2	R$ 166,00
CPC54410	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X4	10	150 x 210	2	R$ 52,00
CPC544100	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X4	100	150 x 210	2	R$ 330,00
CPC544200	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X4	200	150 x 210	2	R$ 650,00
CPC54425	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X4	25	150 x 210	2	R$ 113,00
CPC5445	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X4	5	150 x 210	2	R$ 27,00
CPC54450	PLÁSTICO COMPACTO - 50g - 150X210MM - 4X4	50	150 x 210	2	R$ 183,00
CPC44010	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X0	10	210 x 300	2	R$ 78,00
CPC440100	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X0	100	210 x 300	2	R$ 432,00
CPC440200	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X0	200	210 x 300	2	R$ 860,00
CPC44025	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X0	25	210 x 300	2	R$ 153,00
CPC4405	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X0	5	210 x 300	2	R$ 39,00
CPC44050	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X0	50	210 x 300	2	R$ 246,00
CPC44410	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X4	10	210 x 300	2	R$ 86,00
CPC444100	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X4	100	210 x 300	2	R$ 529,00
CPC444200	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X4	200	210 x 300	2	R$ 995,00
CPC44425	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X4	25	210 x 300	2	R$ 166,00
CPC4445	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X4	5	210 x 300	2	R$ 45,00
CPC44450	PLÁSTICO COMPACTO - 50g - 210X300MM - 4X4	50	210 x 300	2	R$ 286,00
CPC34010	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X0	10	300 x 420	2	R$ 139,00
CPC340100	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X0	100	300 x 420	2	R$ 919,50
CPC340200	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X0	200	300 x 420	2	R$ 1.699,00
CPC34025	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X0	25	300 x 420	2	R$ 290,50
CPC3405	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X0	5	300 x 420	2	R$ 72,50
CPC34050	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X0	50	300 x 420	2	R$ 490,00
CPC34410	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X4	10	300 x 420	2	R$ 157,00
CPC344100	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X4	100	300 x 420	2	R$ 1.055,00
CPC344200	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X4	200	300 x 420	2	R$ 1.980,00
CPC34425	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X4	25	300 x 420	2	R$ 310,00
CPC3445	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X4	5	300 x 420	2	R$ 79,90
CPC34450	PLÁSTICO COMPACTO - 50g - 300X420MM - 4X4	50	300 x 420	2	R$ 570,00
CPR14010	COUCHÊ BRILHO - 145g - 105X300MM - 4X0	10	105 x 300	2	R$ 39,00
CPR140100	COUCHÊ BRILHO - 145g - 105X300MM - 4X0	100	105 x 300	2	R$ 250,00
CPR140200	COUCHÊ BRILHO - 145g - 105X300MM - 4X0	200	105 x 300	2	R$ 399,00
CPR14025	COUCHÊ BRILHO - 145g - 105X300MM - 4X0	25	105 x 300	2	R$ 87,50
CPR1405	COUCHÊ BRILHO - 145g - 105X300MM - 4X0	5	105 x 300	2	R$ 19,90
CPR14050	COUCHÊ BRILHO - 145g - 105X300MM - 4X0	50	105 x 300	2	R$ 150,00
CPR14410	COUCHÊ BRILHO - 145g - 105X300MM - 4X4	10	105 x 300	2	R$ 45,00
CPR144100	COUCHÊ BRILHO - 145g - 105X300MM - 4X4	100	105 x 300	2	R$ 299,00
CPR144200	COUCHÊ BRILHO - 145g - 105X300MM - 4X4	200	105 x 300	2	R$ 499,00
CPR14425	COUCHÊ BRILHO - 145g - 105X300MM - 4X4	25	105 x 300	2	R$ 99,00
CPR1445	COUCHÊ BRILHO - 145g - 105X300MM - 4X4	5	105 x 300	2	R$ 24,90
CPR14450	COUCHÊ BRILHO - 145g - 105X300MM - 4X4	50	105 x 300	2	R$ 175,00
CPR54010	COUCHÊ BRILHO - 145g - 150X210MM - 4X0	10	150 x 210	2	R$ 39,00
CPR540100	COUCHÊ BRILHO - 145g - 150X210MM - 4X0	100	150 x 210	2	R$ 250,00
CPR540200	COUCHÊ BRILHO - 145g - 150X210MM - 4X0	200	150 x 210	2	R$ 399,00
CPR54025	COUCHÊ BRILHO - 145g - 150X210MM - 4X0	25	150 x 210	2	R$ 87,50
CPR5405	COUCHÊ BRILHO - 145g - 150X210MM - 4X0	5	150 x 210	2	R$ 19,90
CPR54050	COUCHÊ BRILHO - 145g - 150X210MM - 4X0	50	150 x 210	2	R$ 129,00
CPR54410	COUCHÊ BRILHO - 145g - 150X210MM - 4X4	10	150 x 210	2	R$ 45,00
CPR544100	COUCHÊ BRILHO - 145g - 150X210MM - 4X4	100	150 x 210	2	R$ 299,00
CPR544200	COUCHÊ BRILHO - 145g - 150X210MM - 4X4	200	150 x 210	2	R$ 499,00
CPR54425	COUCHÊ BRILHO - 145g - 150X210MM - 4X4	25	150 x 210	2	R$ 99,00
CPR5445	COUCHÊ BRILHO - 145g - 150X210MM - 4X4	5	150 x 210	2	R$ 24,90
CPR54450	COUCHÊ BRILHO - 145g - 150X210MM - 4X4	50	150 x 210	2	R$ 149,90
CPR44010	COUCHÊ BRILHO - 145g - 210X300MM - 4X0	10	210 x 300	2	R$ 56,00
CPR440100	COUCHÊ BRILHO - 145g - 210X300MM - 4X0	100	210 x 300	2	R$ 450,00
CPR440200	COUCHÊ BRILHO - 145g - 210X300MM - 4X0	200	210 x 300	2	R$ 799,00
CPR44025	COUCHÊ BRILHO - 145g - 210X300MM - 4X0	25	210 x 300	2	R$ 130,00
CPR4405	COUCHÊ BRILHO - 145g - 210X300MM - 4X0	5	210 x 300	2	R$ 29,90
CPR44050	COUCHÊ BRILHO - 145g - 210X300MM - 4X0	50	210 x 300	2	R$ 250,00
CPR44410	COUCHÊ BRILHO - 145g - 210X300MM - 4X4	10	210 x 300	2	R$ 60,00
CPR444100	COUCHÊ BRILHO - 145g - 210X300MM - 4X4	100	210 x 300	2	R$ 480,00
CPR444200	COUCHÊ BRILHO - 145g - 210X300MM - 4X4	200	210 x 300	2	R$ 899,00
CPR44425	COUCHÊ BRILHO - 145g - 210X300MM - 4X4	25	210 x 300	2	R$ 139,00
CPR4445	COUCHÊ BRILHO - 145g - 210X300MM - 4X4	5	210 x 300	2	R$ 32,00
CPR44450	COUCHÊ BRILHO - 145g - 210X300MM - 4X4	50	210 x 300	2	R$ 275,00
CPR34010	COUCHÊ BRILHO - 145g - 300X420MM - 4X0	10	300 x 420	43	R$ 75,00
CPR340100	COUCHÊ BRILHO - 145g - 300X420MM - 4X0	100	300 x 420	2	R$ 700,00
CPR340200	COUCHÊ BRILHO - 145g - 300X420MM - 4X0	200	300 x 420	2	R$ 1.400,00
CPR34025	COUCHÊ BRILHO - 145g - 300X420MM - 4X0	25	300 x 420	2	R$ 185,00
CPR3405	COUCHÊ BRILHO - 145g - 300X420MM - 4X0	5	300 x 420	2	R$ 38,00
CPR34050	COUCHÊ BRILHO - 145g - 300X420MM - 4X0	50	300 x 420	2	R$ 360,00
CPR34410	COUCHÊ BRILHO - 145g - 300X420MM - 4X4	10	300 x 420	2	R$ 95,00
CPR344100	COUCHÊ BRILHO - 145g - 300X420MM - 4X4	100	300 x 420	2	R$ 899,00
CPR344200	COUCHÊ BRILHO - 145g - 300X420MM - 4X4	200	300 x 420	2	R$ 1.700,00
CPR34425	COUCHÊ BRILHO - 145g - 300X420MM - 4X4	25	300 x 420	2	R$ 230,00
CPR3445	COUCHÊ BRILHO - 145g - 300X420MM - 4X4	5	300 x 420	2	R$ 49,90
CPR34450	COUCHÊ BRILHO - 145g - 300X420MM - 4X4	50	300 x 420	2	R$ 450,00
CP14010	PVC BRANCO 30G - 30g - 115X310MM - 4X0	10	115 x 310	1	R$ 21,00
CP140100	PVC BRANCO 30G - 30g - 115X310MM - 4X0	100	115 x 310	1	R$ 149,00
CP14025	PVC BRANCO 30G - 30g - 115X310MM - 4X0	25	115 x 310	1	R$ 49,00
CP14050	PVC BRANCO 30G - 30g - 115X310MM - 4X0	50	115 x 310	1	R$ 89,00
CP14410	PVC BRANCO 30G - 30g - 115X310MM - 4X4	10	115 x 310	1	R$ 27,00
CP144100	PVC BRANCO 30G - 30g - 115X310MM - 4X4	100	115 x 310	1	R$ 179,00
CP14425	PVC BRANCO 30G - 30g - 115X310MM - 4X4	25	115 x 310	1	R$ 59,00
CP14450	PVC BRANCO 30G - 30g - 115X310MM - 4X4	50	115 x 310	1	R$ 99,00
CP24010	PVC BRANCO 30G - 30g - 150X210MM - 4X0	10	150 x 210	1	R$ 21,00
CP240100	PVC BRANCO 30G - 30g - 150X210MM - 4X0	100	150 x 210	1	R$ 149,00
CP24025	PVC BRANCO 30G - 30g - 150X210MM - 4X0	25	150 x 210	1	R$ 49,00
CP24050	PVC BRANCO 30G - 30g - 150X210MM - 4X0	50	150 x 210	1	R$ 89,00
CP24410	PVC BRANCO 30G - 30g - 150X210MM - 4X4	10	150 x 210	1	R$ 27,00
CP244100	PVC BRANCO 30G - 30g - 150X210MM - 4X4	100	150 x 210	1	R$ 179,00
CP24425	PVC BRANCO 30G - 30g - 150X210MM - 4X4	25	150 x 210	1	R$ 59,00
CP24450	PVC BRANCO 30G - 30g - 150X210MM - 4X4	50	150 x 210	1	R$ 99,00
CP34010	PVC BRANCO 30G - 30g - 210X300MM - 4X0	10	210 x 300	1	R$ 42,00
CP340100	PVC BRANCO 30G - 30g - 210X300MM - 4X0	100	210 x 300	1	R$ 299,00
CP34025	PVC BRANCO 30G - 30g - 210X300MM - 4X0	25	210 x 300	1	R$ 129,00
CP34050	PVC BRANCO 30G - 30g - 210X300MM - 4X0	50	210 x 300	1	R$ 180,00
CP34410	PVC BRANCO 30G - 30g - 210X300MM - 4X4	10	210 x 300	1	R$ 54,00
CP344100	PVC BRANCO 30G - 30g - 210X300MM - 4X4	100	210 x 300	1	R$ 399,00
CP34425	PVC BRANCO 30G - 30g - 210X300MM - 4X4	25	210 x 300	1	R$ 129,00
CP34450	PVC BRANCO 30G - 30g - 210X300MM - 4X4	50	210 x 300	1	R$ 240,00
CP44410	PVC BRANCO 30G - 30g - 300X420MM - 4X4	10	300 x 420	1	R$ 99,00
CP444100	PVC BRANCO 30G - 30g - 300X420MM - 4X4	100	300 x 420	1	R$ 750,00
CP44425	PVC BRANCO 30G - 30g - 300X420MM - 4X4	25	300 x 420	1	R$ 225,00
CP44450	PVC BRANCO 30G - 30g - 300X420MM - 4X4	50	300 x 420	1	R$ 399,00
CPT24010	PVC TRANSPARENTE - 30g - 115X310MM - 4X0	10	115 x 310	1	R$ 42,00
CPT240100	PVC TRANSPARENTE - 30g - 115X310MM - 4X0	100	115 x 310	1	R$ 246,00
CPT24025	PVC TRANSPARENTE - 30g - 115X310MM - 4X0	25	115 x 310	1	R$ 92,00
CPT24050	PVC TRANSPARENTE - 30g - 115X310MM - 4X0	50	115 x 310	1	R$ 153,00
CPT54010	PVC TRANSPARENTE - 30g - 150X210MM - 4X0	10	150 x 210	1	R$ 42,00
CPT540100	PVC TRANSPARENTE - 30g - 150X210MM - 4X0	100	150 x 210	1	R$ 246,00
CPT54025	PVC TRANSPARENTE - 30g - 150X210MM - 4X0	25	150 x 210	1	R$ 92,00
CPT54050	PVC TRANSPARENTE - 30g - 150X210MM - 4X0	50	150 x 210	1	R$ 153,00
CPT44010	PVC TRANSPARENTE - 30g - 210X300MM - 4X0	10	210 x 300	1	R$ 65,00
CPT440100	PVC TRANSPARENTE - 30g - 210X300MM - 4X0	100	210 x 300	1	R$ 362,00
CPT44025	PVC TRANSPARENTE - 30g - 210X300MM - 4X0	25	210 x 300	1	R$ 124,00
CPT44050	PVC TRANSPARENTE - 30g - 210X300MM - 4X0	50	210 x 300	1	R$ 233,00
CPT34010	PVC TRANSPARENTE - 30g - 300X420MM - 4X0	10	300 x 420	1	R$ 145,00
CPT340100	PVC TRANSPARENTE - 30g - 300X420MM - 4X0	100	300 x 420	1	R$ 998,00
CPT34025	PVC TRANSPARENTE - 30g - 300X420MM - 4X0	25	300 x 420	1	R$ 316,00
CPT34050	PVC TRANSPARENTE - 30g - 300X420MM - 4X0	50	300 x 420	1	R$ 592,00
CSC24410	COUCHÊ BRILHO - 275g - 105X300MM - 4X4	10	105 x 300	2	R$ 11,50
CSC244100	COUCHÊ BRILHO - 275g - 105X300MM - 4X4	100	105 x 300	2	R$ 75,00
CSC244200	COUCHÊ BRILHO - 275g - 105X300MM - 4X4	200	105 x 300	2	R$ 132,50
CSC24425	COUCHÊ BRILHO - 275g - 105X300MM - 4X4	25	105 x 300	1	R$ 22,50
CSC2445	COUCHÊ BRILHO - 275g - 105X300MM - 4X4	5	105 x 300	2	R$ 6,00
CSC24450	COUCHÊ BRILHO - 275g - 105X300MM - 4X4	50	105 x 300	2	R$ 44,50
CSC54410	COUCHÊ BRILHO - 275g - 150X210MM - 4X4	10	150 x 210	2	R$ 11,50
CSC544100	COUCHÊ BRILHO - 275g - 150X210MM - 4X4	100	150 x 210	2	R$ 75,00
CSC544200	COUCHÊ BRILHO - 275g - 150X210MM - 4X4	200	150 x 210	2	R$ 132,50
CSC54425	COUCHÊ BRILHO - 275g - 150X210MM - 4X4	25	150 x 210	1	R$ 22,50
CSC5445	COUCHÊ BRILHO - 275g - 150X210MM - 4X4	5	150 x 210	2	R$ 6,00
CSC54450	COUCHÊ BRILHO - 275g - 150X210MM - 4X4	50	150 x 210	2	R$ 44,50
CSC44410	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	10	210 x 300	2	R$ 23,00
CSC444100	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	100	210 x 300	2	R$ 149,00
CSC444200	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	200	210 x 300	2	R$ 260,00
CSC44425	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	25	210 x 300	1	R$ 45,00
CSC4445	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	5	210 x 300	2	R$ 12,00
CSC44450	COUCHÊ BRILHO - 275g - 210X300MM - 4X4	50	210 x 300	2	R$ 89,00
CSC34410	COUCHÊ BRILHO - 275g - 300X420MM - 4X4	10	300 x 420	2	R$ 46,00
CSC344100	COUCHÊ BRILHO - 275g - 300X420MM - 4X4	100	300 x 420	2	R$ 262,00
CSC344200	COUCHÊ BRILHO - 275g - 300X420MM - 4X4	200	300 x 420	2	R$ 489,00
CSC34425	COUCHÊ BRILHO - 275g - 300X420MM - 4X4	25	300 x 420	2	R$ 90,00
CSC3445	COUCHÊ BRILHO - 275g - 300X420MM - 4X4	5	300 x 420	2	R$ 24,00
CSC34450	COUCHÊ BRILHO - 275g - 300X420MM - 4X4	50	300 x 420	2	R$ 178,00
CSR24410	RECICLATO - 250g - 105X300MM - 4X4	10	105 x 300	2	R$ 11,50
CSR244100	RECICLATO - 250g - 105X300MM - 4X4	100	105 x 300	2	R$ 75,00
CSR244200	RECICLATO - 250g - 105X300MM - 4X4	200	105 x 300	2	R$ 132,50
CSR24425	RECICLATO - 250g - 105X300MM - 4X4	25	105 x 300	1	R$ 22,50
CSR2445	RECICLATO - 250g - 105X300MM - 4X4	5	105 x 300	2	R$ 6,00
CSR24450	RECICLATO - 250g - 105X300MM - 4X4	50	105 x 300	2	R$ 44,50
CSR54410	RECICLATO - 250g - 150X210MM - 4X4	10	150 x 210	2	R$ 11,50
CSR544100	RECICLATO - 250g - 150X210MM - 4X4	100	150 x 210	2	R$ 75,00
CSR544200	RECICLATO - 250g - 150X210MM - 4X4	200	150 x 210	2	R$ 132,50
CSR54425	RECICLATO - 250g - 150X210MM - 4X4	25	150 x 210	1	R$ 22,50
CSR5445	RECICLATO - 250g - 150X210MM - 4X4	5	150 x 210	2	R$ 6,00
CSR54450	RECICLATO - 250g - 150X210MM - 4X4	50	150 x 210	2	R$ 44,50
CSR44410	RECICLATO - 250g - 210X300MM - 4X4	10	210 x 300	2	R$ 23,00
CSR444100	RECICLATO - 250g - 210X300MM - 4X4	100	210 x 300	2	R$ 149,00
CSR444200	RECICLATO - 250g - 210X300MM - 4X4	200	210 x 300	2	R$ 260,00
CSR44425	RECICLATO - 250g - 210X300MM - 4X4	25	210 x 300	1	R$ 45,00
CSR4445	RECICLATO - 250g - 210X300MM - 4X4	5	210 x 300	2	R$ 12,00
CSR44450	RECICLATO - 250g - 210X300MM - 4X4	50	210 x 300	2	R$ 89,00
CSR34410	RECICLATO - 250g - 300X420MM - 4X4	10	300 x 420	2	R$ 46,00
CSR344100	RECICLATO - 250g - 300X420MM - 4X4	100	300 x 420	2	R$ 262,00
CSR344200	RECICLATO - 250g - 300X420MM - 4X4	200	300 x 420	2	R$ 489,00
CSR34425	RECICLATO - 250g - 300X420MM - 4X4	25	300 x 420	2	R$ 90,00
CSR3445	RECICLATO - 250g - 300X420MM - 4X4	5	300 x 420	2	R$ 24,00
CSR34450	RECICLATO - 250g - 300X420MM - 4X4	50	300 x 420	2	R$ 178,00
CVCV101	COUCHÊ LAM. FOSCO E V.L. FR-VR - 300g - 182X255MM - 4X4	1000	182 x 255	3	R$ 834,00
CVCV105	COUCHÊ LAM. FOSCO E V.L. FR-VR - 300g - 182X255MM - 4X4	500	182 x 255	4	R$ 614,00
CVCV91	COUCHÊ LAM. FOSCO E V.L. FR-VR - 300g - 273X153MM - 4X4	1000	273 x 153	3	R$ 751,00
CVCV95	COUCHÊ LAM. FOSCO E V.L. FR-VR - 300g - 273X153MM - 4X4	500	273 x 153	4	R$ 554,00
CVCV121	COUCHÊ LAM. FOSCO E V.L. FR-VR - 300g - 273X204MM - 4X4	1000	273 x 204	3	R$ 1.000,00
CVCV125	COUCHÊ LAM. FOSCO E V.L. FR-VR - 300g - 273X204MM - 4X4	500	273 x 204	4	R$ 732,00
CVC101	COUCHÊ BRILHO - 300g - 182X255MM - 4X4	1000	182 x 255	5	R$ 484,00
CVC105	COUCHÊ BRILHO - 300g - 182X255MM - 4X4	500	182 x 255	5	R$ 364,00
CVC91	COUCHÊ BRILHO - 300g - 273X153MM - 4X4	1000	273 x 153	5	R$ 379,90
CVC95	COUCHÊ BRILHO - 300g - 273X153MM - 4X4	500	273 x 153	5	R$ 279,90
CVC121	COUCHÊ BRILHO - 300g - 273X204MM - 4X4	1000	273 x 204	5	R$ 575,00
CVC125	COUCHÊ BRILHO - 300g - 273X204MM - 4X4	500	273 x 204	5	R$ 432,00
CARTAZES E POSTERS					
Código	Descrição do Serviço	Qtde	Tam	Prazo	Preço R$
14136	COUCHÊ BRILHO - 115g - 300X420MM - 4X0	500	300 x 420	3	R$ 422,00
14137	COUCHÊ BRILHO - 115g - 300X420MM - 4X0	1000	300 x 420	3	R$ 483,00
C80D10	COUCHÊ BRILHANTE DIGITAL - 115g - 330X480MM - 4X0	50	330 x 480	1	R$ 85,00
C80D11	COUCHÊ BRILHANTE DIGITAL - 115g - 330X480MM - 4X0	100	330 x 480	1	R$ 167,00
C80D12	COUCHÊ BRILHANTE DIGITAL - 115g - 330X480MM - 4X0	200	330 x 480	1	R$ 299,00
C80D7	COUCHÊ BRILHANTE DIGITAL - 115g - 330X480MM - 4X0	5	330 x 480	1	R$ 13,50
C80D7A	COUCHÊ BRILHANTE DIGITAL - 115g - 330X480MM - 4X0	1	330 x 480	1	R$ 3,50
C80D8	COUCHÊ BRILHANTE DIGITAL - 115g - 330X480MM - 4X0	10	330 x 480	1	R$ 26,50
C80D9	COUCHÊ BRILHANTE DIGITAL - 115g - 330X480MM - 4X0	25	330 x 480	1	R$ 43,00
14145	COUCHÊ BRILHO - 115g - 420X620MM - 4X0	500	420 x 620	3	R$ 531,00
14146	COUCHÊ BRILHO - 115g - 420X620MM - 4X0	1000	420 x 620	3	R$ 751,00
SA4100	COUCHÊ BRILHO - 145g - 225X320MM - 4X0	100	225 x 320	1	R$ 95,50
SA4200	COUCHÊ BRILHO - 145g - 225X320MM - 4X0	200	225 x 320	1	R$ 185,00
SA4400	COUCHÊ BRILHO - 145g - 225X320MM - 4X0	400	225 x 320	1	R$ 313,50
SA450	COUCHÊ BRILHO - 145g - 225X320MM - 4X0	50	225 x 320	1	R$ 54,50
14154	COUCHÊ BRILHO - 145g - 300x420MM - 4X0	500	300 x 420	3	R$ 479,00
14155	COUCHÊ BRILHO - 145g - 300x420MM - 4X0	1000	300 x 420	3	R$ 542,50
CRTZD200	COUCHÊ BRILHO - 145g - 330X480MM - 4X0	200	315 x 465	1	R$ 319,00
